cik,list_broad_quantity_E,list_commodity_E,list_competition_E,list_consumer_E,list_elections_P,list_exchange_rate_E,list_financial_crisis_E,list_govt_enterprises_P,list_govt_spending_P,list_healthcare_E,list_inflation_E,list_interest_rates_E,list_invest_sentiment_E,list_ip_E,list_labor_disputes_E,list_labor_markets_E,list_litigation_E,list_monetary_P,list_other_financial_E,list_policy_agri_P,list_policy_food_P,list_policy_trade_P,list_real_estate_E,list_reg_energy_p,list_reg_finance_P,list_reg_generic_P,list_reg_housing_P,list_reg_immigration_P,list_reg_ip_P,list_reg_labor_P,list_reg_lawsuit_P,list_reg_other_P,list_security_P,list_taxes_P,list_trade_E,list_transport_P,list_welfare_P,sentences
17843,0,36,0,0,1,5,0,0,0,0,5,0,0,5,0,10,26,0,0,0,0,7,0,5,7,51,0,0,0,0,0,0,10,20,0,0,0,786.0
18172,0,116,0,0,2,5,0,0,0,0,0,35,0,0,0,18,29,0,0,0,0,11,0,4,4,54,0,0,0,0,0,0,21,20,0,0,0,1329.0
18230,19,55,1,5,3,55,0,0,5,0,5,56,5,10,29,13,40,10,0,0,0,23,5,0,18,132,0,0,0,0,0,0,10,65,0,0,0,1373.0
18255,0,16,0,20,0,0,0,0,0,10,0,0,0,25,6,25,44,0,5,0,0,10,5,0,20,98,0,0,5,0,0,0,11,25,0,0,0,897.0
18349,0,6,0,0,0,0,3,0,0,0,0,16,0,0,0,2,17,15,10,0,0,0,32,0,57,102,0,0,0,0,0,0,0,30,0,0,2,731.0
18396,6,16,0,0,0,6,0,0,3,5,0,0,0,1,0,38,6,0,0,0,0,0,0,0,4,83,0,0,0,21,0,0,6,32,0,0,0,992.0
18654,5,84,0,0,0,0,0,0,0,0,0,6,0,0,3,2,9,0,0,0,0,4,0,58,4,152,0,0,0,0,3,0,9,19,0,0,0,846.0
18672,5,48,10,5,0,0,0,0,2,4,11,17,0,0,5,37,30,0,0,3,0,12,15,92,19,189,5,0,0,5,6,6,20,42,0,5,0,1702.0
18926,3,20,6,1,3,6,0,0,4,20,4,9,0,45,8,22,55,0,0,0,0,13,0,0,18,320,0,0,0,3,0,44,11,84,0,0,0,2317.0
19149,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,4,0,0,0,221.0
19411,0,4,0,0,0,0,0,0,4,108,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,91,0,0,0,8,0,0,0,6,0,0,50,630.0
19446,0,30,2,0,5,8,0,0,0,111,5,8,0,39,0,5,12,0,0,0,40,24,0,8,5,221,0,0,0,0,0,0,3,31,0,0,5,1235.0
19584,0,5,5,0,0,0,0,0,1,181,10,10,0,0,0,55,52,0,0,0,0,0,0,0,0,209,0,0,0,2,0,0,0,0,0,0,167,1368.0
19612,0,5,0,0,0,0,0,0,1,0,0,20,0,0,0,3,28,4,10,0,0,0,22,0,30,66,0,0,0,0,0,0,6,16,0,0,0,564.0
19617,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,18,0,0,0,0,0,0,19,79,0,0,0,0,0,0,1,0,0,0,0,186.0
19745,0,131,0,6,0,0,0,0,0,0,9,11,0,0,8,8,6,0,0,0,0,0,3,14,13,85,0,0,0,0,0,0,15,5,0,0,0,596.0
19871,5,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,208.0
20171,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,2,2,3,0,0,0,0,2,0,7,49,0,0,0,0,0,0,7,6,0,0,0,287.0
20212,0,17,3,10,0,0,0,0,0,0,3,2,0,65,3,24,39,0,0,0,0,0,17,1,2,134,0,0,3,3,1,0,3,35,0,0,2,1402.0
20286,5,36,0,0,6,0,0,0,0,5,10,21,0,0,0,11,10,5,0,0,0,0,0,0,15,83,0,0,0,0,0,0,28,20,0,0,0,1283.0
20520,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,7,1,0,0,0,0,0,0,0,2,44,0,0,0,0,0,21,2,2,0,0,0,485.0
20629,0,18,4,8,0,0,0,0,0,4,4,8,0,29,4,24,12,0,4,0,0,0,0,0,17,39,0,0,4,0,0,4,20,47,0,0,0,648.0
20639,5,0,0,5,0,0,0,0,0,0,5,5,0,5,0,5,17,0,0,0,0,0,76,0,5,11,0,0,0,0,0,0,10,39,0,0,0,578.0
20740,9,14,0,0,0,10,0,0,0,0,0,0,0,37,6,5,0,0,0,0,0,3,0,6,0,39,0,0,0,0,0,0,3,22,0,0,0,580.0
21076,0,47,9,0,3,22,0,0,2,10,20,3,0,80,5,16,35,0,0,0,5,13,0,6,13,113,0,0,5,0,0,5,7,76,0,0,0,1558.0
21175,0,6,0,0,0,3,0,0,0,9,19,28,0,0,5,0,2,5,8,0,0,4,1,0,12,99,0,0,0,17,0,0,17,22,0,0,0,932.0
21344,5,81,3,16,4,23,0,0,0,0,1,20,0,35,24,29,33,0,5,0,0,7,0,0,0,86,0,0,0,0,0,0,4,105,0,0,0,1472.0
21510,4,43,2,5,4,4,0,0,9,0,0,8,0,73,0,8,74,0,0,0,0,22,0,0,24,106,0,0,0,4,0,0,4,111,0,0,0,2040.0
21535,0,7,2,0,0,5,0,0,2,0,0,3,0,30,0,19,12,0,0,0,0,18,0,0,14,50,0,0,0,0,0,0,2,89,0,0,0,1282.0
21665,1,23,14,6,2,11,0,0,0,15,1,11,0,41,10,9,25,0,0,0,15,4,0,5,0,99,0,0,0,0,0,5,9,27,0,0,0,883.0
22252,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,48,0,0,0,0,0,0,0,4,8,0,0,3,2,0,0,4,2,0,0,0,245.0
22356,0,9,0,5,0,0,2,0,0,0,0,62,0,0,0,10,6,36,15,0,0,0,10,0,7,69,0,0,0,0,0,0,0,7,0,0,0,618.0
22444,8,222,1,0,0,14,0,0,2,3,0,10,0,4,0,24,41,0,0,0,0,22,6,20,8,111,0,0,0,4,0,0,0,10,0,0,0,1114.0
22701,0,2,0,0,0,8,0,0,8,0,0,0,0,2,0,6,6,0,0,0,0,6,0,0,8,16,0,0,0,4,0,0,2,4,0,0,0,655.0
22767,4,42,0,2,0,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,0,0,18,6,71,0,0,0,0,0,0,6,0,0,0,0,590.0
22872,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,1,9,0,0,0,0,0,0,0,8,31,0,0,0,0,0,0,1,0,0,0,6,266.0
23082,1,5,0,0,5,12,0,0,8,0,1,6,0,12,0,10,15,1,0,0,0,0,0,0,5,42,0,0,0,0,0,0,4,48,0,0,0,791.0
23111,0,7,0,0,0,5,0,0,5,58,0,0,0,7,0,5,9,0,0,0,0,0,1,0,25,76,0,0,0,0,0,0,0,73,0,0,10,738.0
23194,0,282,9,0,0,0,0,0,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,13,33,140,2,0,0,4,0,0,4,23,0,0,0,1286.0
23197,1,32,4,0,8,12,0,0,19,0,4,8,0,108,0,14,64,0,0,0,0,10,0,0,17,167,0,0,0,0,0,40,42,40,0,0,0,2521.0
23217,0,35,4,10,0,0,0,0,0,0,5,23,0,24,5,17,29,0,0,5,10,5,0,10,3,93,0,0,2,5,0,0,5,30,0,0,0,1211.0
23632,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,12,104,0,0,0,0,0,0,5,16,0,0,0,520.0
23675,1,2,0,0,0,0,0,0,0,1,0,3,0,0,0,5,1,0,0,0,0,0,0,2,0,13,0,0,0,2,0,0,1,5,0,1,0,145.0
23795,4,1,0,4,0,0,0,0,0,0,0,14,0,0,0,4,4,0,9,0,0,0,78,0,8,38,0,0,0,0,0,0,6,10,0,0,0,631.0
24090,0,5,0,3,1,0,0,0,3,5,3,79,0,0,0,12,24,3,0,0,0,1,9,0,31,240,0,0,0,0,2,0,1,72,0,0,6,1899.0
24491,0,26,0,0,3,20,0,0,0,10,5,8,0,38,9,18,15,0,0,0,0,20,0,0,0,64,0,0,5,0,0,0,6,64,0,0,0,1069.0
24545,3,44,0,0,0,20,0,0,0,0,10,6,0,20,21,35,12,0,0,0,0,13,0,0,0,153,0,0,0,0,1,0,2,78,0,0,0,1673.0
24741,4,65,2,0,0,12,0,0,0,0,0,2,0,81,2,7,44,0,0,0,0,20,0,0,0,102,0,0,0,0,0,0,9,88,0,0,0,1015.0
25232,0,14,0,0,0,0,0,0,0,0,0,31,0,0,0,4,0,0,3,0,0,0,141,0,0,34,0,0,0,0,0,0,5,113,0,0,0,1518.0
25445,3,14,0,0,3,10,0,0,11,0,2,4,4,12,0,22,26,4,0,0,0,11,0,4,0,64,0,0,2,0,0,0,9,24,0,0,0,754.0
25475,0,1,6,0,3,10,0,0,0,5,0,5,0,33,0,21,38,0,0,0,0,0,0,0,6,43,0,0,0,0,4,0,0,23,0,0,0,892.0
